Player Name,School Name,Position,Height,Year,Games Started,PPG,RebPG,AstPG,+/-,FG%,3FG%,FT%
Jelani Williams,Howard,G,6'5,Senior,1,7.8,4.6,4,-8,41,25,100
Joshua Strong,Howard,G,6',Senior,12,3.6,1.4,1.3,-52,48.4,47.7,72.4
Kelechi Okworogwo,UMES,F,6'6,Sophomore,3,4.3,2.2,0.2,-15,50.6,26.3,61.3
Omar Croskey,South Carolina St.,G,6'5,Junior,24,7.4,3.3,0.9,-71,36.9,29.8,80.3
Martaz Robinson,Delaware St.,G,6'2,Senior,31,16,6.4,2.1,-51,41.1,31,85.1
Gilbert Brown,Norfolk St.,G,6',Junior,0,0.9,0.4,0.4,14,33.3,66.7,33.3
George Beale Jr.,Norfolk St.,G,6'4,Sophomore,1,2.9,0.6,0.1,-32,39.5,31.8,75
Terrance Jones,Norfolk St.,G,6'3,Junior,2,2.6,1,0.4,-10,27.3,14.3,100
Jack Doumbia,Norfolk St.,F,6'6,Junior,2,4.5,1.5,0.3,17,49.3,22.2,69
Emmanuel Izunabor,N.C. Central,F,6'8,Senior,17,4.5,5.2,0.3,3,61.8,NA,58.5
Kuluel Mading,Norfolk St.,F,6'9,Junior,23,5.2,3.4,0.4,18,43,17.1,67.6
Fred Cleveland Jr.,N.C. Central,G,5'9,Senior,25,14.6,4.4,5.4,67,36.4,33.5,77.9
Nyzaiah Chambers,Norfolk St.,F,6'7,Senior,8,3.1,3,0.3,-65,50.8,25,40.9
Tyrese Jenkins,Norfolk St.,G,6'6,Senior,5,3,2.4,0.8,2,32.9,26.9,50
Daryl Anderson,Norfolk St.,G,6'6,Senior,6,3.2,1.6,0.2,-35,41.9,40.5,90.9
Luka Tekavcic,Coppin St.,F,6'11,Junior,5,2.4,2,0.6,-97,43.8,40,57.1
Kye Dickson,N.C. Central,F,6'7,Junior,0,1.6,2.2,0.1,18,30.8,0,50
Shaman Alston,South Carolina St.,G,6'4,Senior,8,3,1.7,1.2,-97,31,33.3,52.9
Josh Smith,N.C. Central,G,6'4,Sophomore,2,6.3,1.4,0.8,20,43.4,45.9,70.6
Cobey Harraway,N.C. Central,G,6'7,Junior,8,1.1,1.5,0.2,-83,19.2,18.8,27.3
Dallas James,South Carolina St.,F,7',Senior,14,0.8,1.3,0,-8,52.6,NA,16.7
Po'Boigh King,N.C. Central,G,6'4,Sophomore,25,14.6,5,1.6,36,41.8,33.1,76.7
Justin Winston,Coppin St.,F,6'8,Senior,20,13.2,5.3,0.7,-233,39.9,30.3,86.7
Greg Spurlock,Coppin St.,G,6'5,Junior,25,8.4,4,1.6,-292,37.8,26.3,83.3
Christian Ings,Norfolk St.,G,6'2,Senior,18,8.4,2.2,1.9,-4,44.2,31.6,76.1
Seth Towns,Howard,F,6'9,Senior,27,13.9,6.5,2.4,15,36,34.3,83.9
Davion Everett,South Carolina St.,F,6'6,Junior,19,6.4,5.6,1,-85,50,0,47.8
Tyler Mack,UMES,G,6'5,Junior,11,4.6,1.4,0.5,-150,30.7,32.4,50
Bryce Harris,Howard,G,6'4,Junior,33,16.8,7.7,1.7,9,54.6,35.8,74.2
Miles Stewart,Howard,F,6'7,Sophomore,0,0.9,1,0,-31,50,0,33.3
Jordan Hairston,Howard,G,6',Junior,9,6.4,1.8,1.1,54,42.9,39.8,82.7
Caleb McCarty,South Carolina St.,F,6'8,Freshman,12,4.7,4.1,0.9,-58,56.1,0,64
Atiba Taylor,South Carolina St.,G,6'4,Senior,3,5.5,1.3,0.9,-75,34.9,35.6,90
Damani Claxton,UMES,G,6',Sophomore,0,2.8,1.5,1.9,-107,34.2,22.7,66.7
Isiah Warfield,Howard,G,6'5,Junior,15,7.2,3.2,3,12,40.4,32.6,87.5
Devon Ellis,UMES,G,6'6,Sophomore,21,11.1,4.3,0.6,-140,48.2,22.2,68.5
Jaylani Darden,Norfolk St.,G,6'5,Junior,23,6.4,4.9,1.6,100,47,32.6,83
Antwan Wilson,UMES,G,6'5,Freshman,0,1.4,1,0.2,-31,31.2,30.8,50
Israel Yaw,UMES,F,6'9,Sophomore,3,2.5,2.1,0.1,-92,45.1,42.9,50
Michael Teal,South Carolina St.,G,6'1,Junior,15,8.7,2,2.4,-161,37.2,30.7,77.3
Malang Athian,UMES,F,6'7,Junior,1,1.6,0.4,0.3,-55,32.5,22.2,33.3
Zahree Harrison,Coppin St.,G,6',Junior,6,5.4,1.5,1,-77,36.7,22.2,67.9
Kyle Johnson,Delaware St.,F,6'8,Senior,2,1.7,1.5,0.3,-56,48.6,0,57.1
Will Thomas,Morgan St.,G,6'6,Senior,22,14.9,3.9,1.7,-118,47.8,21.8,85.6
Isaiah Gross,Coppin St.,G,6'4,Junior,2,2.2,1.1,0.5,-5,26.3,21.4,40
Jevin Muniz,Delaware St.,G,6'6,Sophomore,31,15,3.7,2.9,-44,42.6,33.8,77.6
Allen Betrand,Norfolk St.,G,6'5,Senior,6,11.1,2.9,1.1,29,44.3,37.5,86.7
Cameron Stitt,Delaware St.,F,6'8,Junior,0,2.3,1.4,0.1,-37,35.6,34.8,60.9
Wilson Dubinsky,South Carolina St.,G,6'2,Senior,3,7.5,1.8,1.5,-101,37.5,36.9,76.7
Mitchell Taylor,South Carolina St.,G,6'3,Freshman,15,8.2,2.9,1.8,-67,41.1,27.8,68.5
Chace Davis,UMES,G,6'3,Junior,12,6.3,1.8,0.5,-159,27.3,25.5,86.2
Troy Hupstead,UMES,F,6'7,Junior,22,13.7,8.8,1.1,-105,42.7,33.9,70.3
Tyrel Bladen,Norfolk St.,F,6'10,Senior,21,5.8,3.4,0.5,72,54.3,0,47.9
Drayton Jones,South Carolina St.,F,6'10,Freshman,17,5.5,3.8,0.8,-105,44.8,NA,64.8
Dionte Johnson,UMES,G,6',Sophomore,24,6.9,3.6,2.7,-139,39.4,30.8,78.9
Victory Naboya,UMES,F,6'8,Sophomore,0,1.2,1.4,0.2,-90,41.2,0,100
Elijah Wilson,UMES,G,6'5,Junior,13,6.5,2.9,1,-114,30.6,27,76.1
Brandon Stone,Delaware St.,F,6'11,Senior,4,5.2,2,0.4,-63,37,15.4,85.7
Talin Lewis,Howard,G,6'4,Senior,0,2,0.3,0,-4,80,100,75
Shy Odom,Howard,F,6'6,Sophomore,14,8.5,3.4,2.4,-4,43.9,29.4,68.3
Raymond Somerville,Delaware St.,F,6'11,Junior,20,3,2.2,0.3,-58,44.2,NA,50
Ose Okojie,Howard,G,6'5,Sophomore,6,3.7,3.1,0.7,-26,42.3,12.5,51.2
Wynston Tabbs,Morgan St.,G,6'3,Senior,17,15.2,2.9,1.7,-146,39.7,34.4,88.9
Jordan Simpson,South Carolina St.,G,6'5,Sophomore,5,5.5,2.4,1.4,-59,37,22.9,69
Malik Battle,Coppin St.,G,6'3,Senior,6,7.3,1.5,0.8,-143,36.4,45.8,83.9
Devin Gordon,N.C. Central,F,6'5,Junior,16,4.6,2,0.5,76,43.2,34.5,33.3
James Marrow,South Carolina St.,G,6'8,Freshman,0,2.4,1.8,0.2,-73,42.2,50,83.3
Toto Fagbenle,Coppin St.,F,6'9,Senior,14,5.3,4.5,0.6,-194,49.3,NA,56.4
Toby Nnadozie,UMES,G,6'3,Sophomore,15,3.8,1.4,1.3,-18,36,17.4,74.1
Myles Thompson,Morgan St.,F,6'7,Senior,5,5.4,3.3,0,-81,30.2,22.7,70
Ja'Darius Harris,N.C. Central,G,6'2,Senior,16,13.4,3.5,1.6,33,42.9,30,82.7
Deywilk Tavarez,Delaware St.,G,6'2,Freshman,27,13.6,3.3,3.3,-7,38.1,34.8,76.9
Alston Andrews,Delaware St.,F,6'10,Junior,30,4.7,4.8,1.1,-35,42.9,0,62.5
Wesley Oba,Delaware St.,F,6'8,Junior,6,5.8,6.2,0.5,12,58.8,30,46.8
Caleb Surgers,Delaware St.,F,6'8,Freshman,0,1.7,0.9,0.2,2,73.3,NA,20
Demajion Topps,Morgan St.,G,6',Sophomore,0,2.5,1,0.5,-72,41.7,7.7,52.8
Dean Shepherd,Delaware St.,G,6'3,Freshman,1,2.5,0.9,0.4,3,57.9,28.6,63.6
Kamron Hobbs,Morgan St.,G,5'10,Senior,24,9.4,2.9,2.9,-208,36.8,31.6,79.6
Amahrie Simpkins,Morgan St.,G,6'4,Junior,21,8.7,5.2,1.1,-138,48.8,24.2,60
Daniel Akitoby,Morgan St.,F,6'9,Junior,0,0.5,0.7,0.2,-40,25,0,100
Trent Edwards,Morgan St.,F,6'8,Freshman,5,1.4,1.4,0.2,-87,44.8,0,71.4
Rob Lawson,Morgan St.,G,6',Sophomore,11,8.9,2.2,3.3,-65,35.6,23.3,80.6
Marvin Brimage,Morgan St.,G,6'3,Freshman,1,1.1,0.7,0.1,-45,33.3,12.5,75
Christian Oliver,Morgan St.,F,7',Junior,8,4.6,2.7,0.4,-127,47.2,40.9,78.9
AJ Magbegor,Howard,F,6'7,Freshman,2,1.9,1,0.3,2,44.4,0,66.7
Marcus Dockery,Howard,G,6'2,Junior,32,13.8,3.3,1.8,8,42.1,40.9,81.3
Allen Udemadu,Morgan St.,F,6'10,Junior,23,7.8,6.8,0.9,-110,58.9,NA,70.4
Aa'reyon Munir-Jones,Coppin St.,G,6'3,Freshman,17,3.8,3,1.3,-128,31.5,13.5,55.6
Jamarii Thomas,Norfolk St.,G,6',Junior,27,17.6,3.8,3.8,45,40.6,39.8,81.4
Khali Horton,Coppin St.,F,6'8,Freshman,3,4.7,1.3,0.5,-97,35.9,34.8,57.1
Perry Smith Jr.,N.C. Central,F,6'9,Sophomore,10,4.8,4.1,0.2,26,60.9,0,58.3
Ryan Archey,Coppin St.,G,6',Freshman,8,9.3,2.1,1.5,-292,34.1,23,68.2
Don Don Ferguson,Coppin St.,G,6'1,Freshman,0,2.7,1.4,0.3,-29,33.3,35,83.3
Preist Ryan,Coppin St.,G,6'6,Freshman,4,5.6,2.9,0.7,-120,37.9,14.3,59.3
Raquan Brown,South Carolina St.,G,6'3,Senior,15,6.5,2.9,0.7,-19,40.5,36,70.3
Camaren Sparrow,Coppin St.,G,6'4,Freshman,24,6.3,3.5,0.9,-207,37.6,29.2,84.8
Ronnie Williams,Coppin St.,G,6'5,Sophomore,0,1,0.5,0,-25,16.7,0,NA
Terrence Crawford,N.C. Central,G,6'2,Junior,1,2.1,0.4,0.3,6,38.9,41.2,0
Timmy Adedire,N.C. Central,F,6'4,Junior,3,5.3,3.6,1,50,43.2,25,66
Darryon Prescott,Coppin St.,F,7',Freshman,11,2.3,2.3,0.2,-64,45.5,NA,70.6
Keishon Porter,N.C. Central,G,6'5,Junior,12,8.7,3.1,0.3,-31,54.2,36.8,62.8
Corey Perkins,Delaware St.,G,6'2,Junior,3,4.3,1,1,-52,41.7,0,100
Dom Campbell,Howard,F,6'9,Sophomore,12,7.8,4.6,1,-33,48.9,28.6,65.9
Khyrie Staten,Delaware St.,G,6'1,Junior,0,3.7,0.8,0.4,-96,28.9,18.2,74.1
Elijah Williams,Howard,G,6'6,Senior,1,1.5,0.9,0.1,-12,60,50,33.3
Kiran Oliver,Morgan St.,G,6'5,Sophomore,3,3.6,2.6,0.4,-35,45.3,11.8,63.6
Chris Fields Jr.,Norfolk St.,F,6'7,Freshman,3,5.4,2.8,0.8,-12,43.4,20,58.9
Guy Fauntleroy,N.C. Central,G,6',Sophomore,0,2.3,0.6,0.8,-38,25,37.5,88.9
Jordan Atkins,Howard,G,6'2,Freshman,0,0,0,0.2,6,NA,NA,NA
Chris Daniels,N.C. Central,G,6'1,Junior,0,0,0,0,7,NA,NA,NA
Staccardo Washington,Morgan St.,F,6'6,Freshman,0,0,1,0,0,NA,NA,NA
Daman Tate,Norfolk St.,G,6'5,Senior,0,0.5,0.2,0.2,6,50,50,NA
John Seay-Oliver,South Carolina St.,G,6'3,Freshman,0,0.5,0.8,0,0,50,NA,NA
Thomas Weaver,Howard,G,5'10,Senior,1,0.2,0.2,0.2,-23,12.5,25,NA
Elias Walker,Delaware St.,F,6',Sophomore,0,0,0,0,-1,0,NA,NA
Daiquan Copeland,Coppin St.,G,6'6,Senior,0,0,0.5,0,-7,0,0,NA
Ricky Deadwyler III,Delaware St.,G,6'4,Junior,0,0.8,0,0,3,100,100,NA
Elijah Charles,South Carolina St.,F,6'10,Junior,0,2.5,0.5,0,-21,66.7,NA,50
Kevon Wiggins,Morgan St.,G,6'3,Senior,0,1.3,0.3,1,-43,20,100,50
Ayodele Taiwo,Howard,F,6'9,Sophomore,0,0.8,0.5,0,-13,33.3,NA,50
Alex Odam,Jacksonville St.,G,6'3,Freshman,5,0.6,0.7,0.8,-8,35.7,NA,NA
Devin Ree,Louisiana Tech,F,6'8,Sophomore,8,4.4,2.4,0.3,71,41.6,36.2,60
Jaden Ray,Sam Houston,G,5'10,Senior,20,6.7,3.1,4.2,13,36,27.9,75.9
Kyle Rode,Liberty,F,6'7,Senior,29,14.8,5.1,2.5,83,39.7,37.8,76.8
Tae Hardy,UTEP,G,6'3,Senior,31,15.3,2.8,2.2,-4,41.3,37.1,70.3
Tre Green,Middle Tenn.,G,6'3,Sophomore,0,4.3,1.6,0.6,-72,29.6,33.8,84.6
Ty Mosley,Middle Tenn.,G,6'6,Senior,0,1.3,1.2,0.6,-78,27.3,17.6,75
BJ Marable,Western Ky.,F,6'9,Senior,0,0.7,1,0.2,7,33.3,NA,0
Elias King,Middle Tenn.,G,6'8,Senior,31,12.3,4.5,0.8,-140,38.9,31.6,70.5
Gora Niang,Jacksonville St.,F,6'7,Freshman,0,0.7,0.5,0.2,-10,28.6,25,33.3
Kevin Kalu,UTEP,F,6'9,Junior,28,3.7,4.3,0.1,-31,57.7,NA,49.1
KyKy Tandy,Jacksonville St.,G,6'2,Senior,29,17.8,2.7,1.3,21,41.2,37.3,88.2
Lewis Rowe,Sam Houston,F,6'10,Junior,0,0.9,0.9,0.3,2,55.6,0,50
Will Allen,Louisiana Tech,F,6'7,Sophomore,1,1,2.2,0.1,-32,41.4,NA,28.6
Zid Powell,UTEP,G,6'4,Senior,31,11.3,5,3.1,8,38.8,25,74.2
Baylor Hebb,UTEP,G,6'2,Junior,1,1.7,0.8,0.2,-43,30,26.7,78.6
Arturo Dean,FIU,G,5'11,Sophomore,29,13.5,5.1,3.9,-23,41.6,31,63.5
CJ Beaumont,Sam Houston,G,6'8,Freshman,0,0.7,0.5,0,-3,27.3,33.3,NA
Chris Loofe,Middle Tenn.,F,6'11,Freshman,0,2.1,2.3,0.4,-58,50,33.3,47.1
Don McHenry,Western Ky.,G,6'2,Junior,30,15.9,3.2,2.2,41,46.5,38.1,87.5
Jack Edelen,Western Ky.,G,5'10,Freshman,0,0.7,0.4,1,40,22.2,0,69.2
Jaden Grant,FIU,G,5'11,Junior,0,1.2,1.8,0.4,-133,27.8,22.7,60
Matt Mayers,Jacksonville St.,F,6'8,Senior,5,3.8,3,0.2,-19,52.7,25,70.4
Trey Horton,UTEP,G,6'5,Freshman,0,3,0.2,0,-2,47.9,44.4,71.4
Tyler Henry,Louisiana Tech,G,6'3,Senior,12,5.5,1.7,0.5,31,40.8,31.9,63
Babacar Faye,Western Ky.,F,6'8,Junior,25,7.2,5.5,0.8,147,57.9,0,70.8
Colin Porter,Liberty,G,5'9,Sophomore,29,7.9,3,3.8,95,39,33.6,79.1
Dante Wilcox,FIU,G,6'6,Senior,12,2.3,1.7,0.8,-6,51,66.7,80
Davon Barnes,Sam Houston,F,6'5,Junior,31,13.3,3.4,1.6,40,41.4,38.6,83
Elijah Jones,UTEP,F,6'8,Freshman,0,2.5,1.5,0.1,-30,51.1,20,75
Femi Odukale,New Mexico St.,G,6'6,Junior,15,11.2,6.7,3,-103,43.1,31.7,50.4
Jaden Harris,New Mexico St.,G,6'4,Junior,19,6.6,2.6,0.8,-150,35.2,33.7,86.1
Jalen Jordan,Middle Tenn.,G,6'3,Senior,3,6.4,1.5,0.8,-100,36.7,33.7,73.2
Jordan Rawls,New Mexico St.,G,6'2,Senior,18,8.2,2.4,3.3,-205,37,26.3,77.6
Juwan Perdue,Jacksonville St.,F,6'6,Senior,28,8.7,5.6,1,20,42,31.5,72.1
Kaosi Ezeagu,New Mexico St.,F,6'10,Senior,28,8.5,6.2,0.5,-190,56.3,0,51.2
Quincy Clark,Jacksonville St.,G,6'2,Junior,12,7.9,2.9,3,3,38.5,25,70.3
Seth Pinkney,FIU,F,7'1,Senior,32,4.6,3,0.8,-33,65.9,0,68.4
Teagan Moore,Western Ky.,G,6'5,Freshman,1,5.9,2.3,0.6,49,50,20,78.2
Zander Yates,Liberty,F,6'7,Sophomore,0,0.9,0.5,0.2,-16,26.1,25,100
Andres Burney,Jacksonville St.,F,6'9,Junior,9,5.3,3.2,0.3,43,55.1,NA,55.8
Brody Peebles,Liberty,G,6'2,Junior,3,9.5,1.7,0.6,28,43.5,29.5,86.4
Brandon Suggs,New Mexico St.,G,6'6,Senior,7,7.7,3.7,0.6,-19,36.8,28.6,81.6
Caleb Johnson,Jacksonville St.,F,6'7,Junior,6,4.1,2.3,0.7,23,36.8,11.5,75
Daniel Batcho,Louisiana Tech,F,6'11,Junior,26,14.8,9.8,0.4,192,57.9,0,67.1
Camryn Weston,Middle Tenn.,G,6'3,Senior,2,11,4.5,3.5,13,38.9,20,77.8
Dontaie Allen,Western Ky.,G,6'6,Senior,13,8.4,3.1,0.6,130,42.6,41.9,70.8
Dravon Mangum,Louisiana Tech,F,6'8,Senior,10,5.1,3.7,0.4,65,33.6,29.9,79.2
Ivan Reynolds,Jacksonville St.,G,6'5,Junior,8,4.3,3,2.2,-29,47.5,25,56.1
Gabriel McKay,Liberty,G,6'2,Senior,0,1.6,0.4,0.1,-26,38.9,34.5,66.7
Jacob Johnson,Middle Tenn.,G,6'5,Junior,27,5.6,4.2,1,-176,45.7,33.3,60.9
Jalen Jackson,Western Ky.,G,5'11,Senior,2,5,2,2.1,24,40.5,0,47.6
Jayden Brewer,FIU,G,6'6,Sophomore,1,8.2,3.1,0.8,-161,46.9,23.3,53.2
Jestin Porter,Middle Tenn.,G,6'1,Junior,31,13.9,3.4,1.7,-147,39.4,32.9,77.5
Jon Dos Anjos,UTEP,F,6'8,Senior,1,2.5,1.3,0.2,-25,35.8,30.6,54.5
Josh Ogundele,Middle Tenn.,F,6'10,Senior,0,3.2,2.6,0.5,-2,50,NA,50
Kaden Metheny,Liberty,G,5'10,Sophomore,29,14,3.4,2.7,87,45,40.9,68.4
Keylon Dorsey,New Mexico St.,G,6'5,Freshman,0,0.5,1.4,0,-39,10,7.7,50
Marcus Boykin,Sam Houston,G,6'1,Junior,11,7.4,1.9,2.3,30,44.7,41.5,66.1
Rodney Howard,Western Ky.,F,6'11,Senior,5,10.2,4.8,0.8,3,55.7,NA,66.2
Tahlik Chavez,Louisiana Tech,G,6'2,Senior,28,14.5,3.1,1.2,201,43.1,40.8,77.1
Brandon Newman,Western Ky.,G,6'5,Senior,30,10,5.2,1.7,121,40.6,31.4,72.5
Calvin Solomon,UTEP,F,6'7,Senior,10,5.2,4.1,1.2,39,44.1,0,71.2
Christian Cook,New Mexico St.,G,6'2,Senior,22,12,2.7,1,-190,41.2,35.3,84.1
Dashon Gittens,FIU,G,6'3,Sophomore,21,9.8,3.4,2.2,-51,40.8,27.9,81.4
Enoch Kalambay,Western Ky.,G,6'6,Junior,5,5.9,4.7,1.2,3,47.8,26.7,66.7
Jonathan Aybar,FIU,F,6'9,Junior,13,7.2,3.6,1.3,-3,55.4,31.6,76.2
Joseph Venzant,Liberty,G,6'3,Junior,26,5.4,6.1,0.6,85,60.4,28.6,67.6
Justin Bufford,Middle Tenn.,G,6'6,Junior,30,7.3,3.6,1.2,-116,34.7,20.9,64.9
Kian Scroggins,Sam Houston,F,6'7,Junior,4,5.9,5.7,0.5,59,52.3,20,57.6
Mohamed Sanogo,FIU,F,6'9,Junior,0,4.2,3,0.7,-93,54.4,0,44
Owen McGlashan,Sam Houston,F,6'7,Senior,0,2.7,1.5,0.2,27,46.8,50,72.7
Sebastian Cole,UTEP,G,6'1,Junior,0,1.1,0.2,0.2,-5,33.3,16.7,100
Tanahj Pettway,New Mexico St.,G,6'2,Senior,0,5.1,1.6,0.4,-46,39.6,28,65.4
Travis Roberts,Jacksonville St.,G,6'6,Sophomore,6,2.4,0.8,0.1,-5,31.3,26.8,78.9
Zach Cleveland,Liberty,F,6'7,Sophomore,29,11.9,6.3,4,61,58.1,0,53.7
Ben Southerland,Liberty,F,6'7,Freshman,0,1.3,0.9,0,-4,48,40,28.6
Cameron Huefner,Sam Houston,F,6'7,Junior,7,7.8,3.1,0.6,9,40.1,33,78
Derick Hamilton,UTEP,F,6'10,Junior,0,4.3,1.6,0.1,28,64.9,NA,61.5
Isaiah Crawford,Louisiana Tech,F,6'6,Senior,29,16.4,6.3,2.4,199,47.5,42.9,72.3
Jaidon Lipscomb,FIU,G,6'5,Junior,18,5.7,1.2,1.5,-67,38.6,34.2,50
Jordan Crawford,Louisiana Tech,G,6'3,Sophomore,2,4.3,3,1.3,43,45.9,41.7,56.4
Lamar Wilkerson,Sam Houston,G,6'4,Junior,30,13.9,3.6,1.4,120,43.4,35.7,82.1
Mason Nicholson,Jacksonville St.,F,6'10,Junior,15,6.4,5.3,0.2,-38,64.2,NA,46.5
O'zhell Jackson,Middle Tenn.,G,6'8,Junior,0,2.1,1.7,0.7,-49,70,0,14.3
Okechukwu Okeke,FIU,F,6'9,Junior,0,2.5,2,0.1,-101,53.2,40,56.2
Sean Newman Jr.,Louisiana Tech,G,6'1,Sophomore,23,7.4,3,5,127,37.4,30.6,75.4
Shiloh Robinson,Liberty,F,6'7,Senior,0,4.7,2.4,0.4,66,56.5,27.8,55
Tyrone Marshall,Western Ky.,F,6'7,Senior,29,8.3,4.4,2.1,87,47.6,33.3,71.8
Anthony Wrzeszcz,Sam Houston,G,6'3,Sophomore,0,2.6,0.9,0.6,-79,28.2,31.8,66.7
Corey Camper Jr.,UTEP,G,6'5,Junior,23,7.9,2.6,1.2,-34,39.3,29.7,70.5
Garrett Levesque,UTEP,G,6'6,Junior,0,0.2,0.1,0.1,12,33.3,0,0
Javaunte Hawkins,FIU,G,5'11,Senior,21,13.3,2.2,2.3,-161,39.3,37.5,80
Jaylin Henderson,Louisiana Tech,G,6'3,Junior,4,2.4,1.5,0.7,36,29.3,21.2,66.7
Khristian Lander,Western Ky.,G,6'3,Senior,10,8.5,2.4,2,76,39.8,34.1,76.2
Otis Frazier III,UTEP,F,6'6,Junior,30,10.4,4.7,1.7,24,48,27.8,64.8
Petar Krivokapic,FIU,G,6'4,Junior,13,7.1,1.4,0.6,-100,37.1,30.9,68.9
Robert Carpenter,New Mexico St.,F,6'7,Senior,13,10,3.6,0.2,-56,48.1,33.9,89.5
Terri Miller Jr.,Louisiana Tech,F,6'8,Junior,2,3.2,1.9,0.7,17,47.8,0,63.6
David Terrell Jr.,UTEP,G,6'4,Freshman,0,5.2,1.6,1.6,33,40.6,16.7,73
Jonathan Kanyanga,New Mexico St.,F,6'10,Senior,0,1.6,2.2,0.2,-23,56.7,NA,63.6
Damon Nicholas Jr.,Sam Houston,G,6'4,Junior,26,7.6,5.5,1.1,45,40.7,33.3,65.5
Souleymane Doumbia,Sam Houston,F,6'11,Senior,26,6.5,5.9,0.6,-55,51.4,20,68
George Pridgett Jr.,FIU,G,5'11,Junior,0,3.7,0.8,0.3,-3,33.7,33.3,78.6
Jared Coleman-Jones,Middle Tenn.,F,6'10,Junior,31,11.1,7.5,2.4,-138,44.5,44.2,76.9
Jaylin Jackson-Posey,New Mexico St.,G,6'2,Senior,15,6.5,3.1,2.2,-170,39.7,36.4,82.4
Marcellus Brigham Jr,Jacksonville St.,F,6'7,Junior,22,7.7,4.3,0.9,-62,40.8,33.8,67.5
"Clarence ""Monzy"" Jackson",New Mexico St.,F,6'7,Junior,3,4.2,3,0.3,-89,27.9,9.1,88.9
Derrick Brown,Sam Houston,G,6',Junior,0,0,0,0,1,NA,NA,NA
Thomas Curlee,Jacksonville St.,F,6'3,Freshman,0,0,0,0,0,NA,NA,NA
Bryce cook,Sam Houston,G,5'9,Freshman,0,0.5,0,0,1,50,0,NA
Jack Jubenville,Middle Tenn.,G,6',Sophomore,0,0,0.3,0,-6,0,NA,NA
Jordan Turner,Louisiana Tech,F,6'8,Senior,0,0.3,0.9,0.1,-5,33.3,0,NA
Jaylen Dorsey,Western Ky.,F,6'4,Junior,0,1.5,0.8,0,-2,75,NA,NA
Tyler Olden,Western Ky.,G,5'11,Junior,0,1.5,0.2,0,0,40,50,NA
Tyre Patterson,Jacksonville St.,G,6'2,Freshman,0,0.6,0.3,0.1,1,60,50,NA
Bryson Spell,Liberty,F,6'9,Sophomore,0,0.4,0.5,0.1,-3,33.3,0,NA
Fallou Diagne,Western Ky.,F,6'11,Senior,0,0,0,0,-1,0,0,NA
Isiah Lightsy,Middle Tenn.,G,6'4,Junior,0,0,0,0.1,-6,0,0,NA
Christopher Biekeu,New Mexico St.,F,6'7,Junior,0,0,1,0,1,0,NA,NA
Yaak Yaak,New Mexico St.,F,6'11,Freshman,0,0.3,0.6,0.1,-30,100,NA,100
JC Shirer Jr.,Liberty,G,6'3,Freshman,0,0.4,0,0,-6,NA,NA,100
CJ Jones,UIC,G,6'5,Sophomore,30,11.6,3.5,4.7,-79,42.7,38.8,60.6
Ty Pence,Illinois St.,G,6'6,Freshman,1,0.9,0.7,0.2,-52,17.9,4.3,41.7
RJ McGee,Southern Ill.,G,6'5,Junior,0,1.5,0.7,0.1,-11,33.3,20,66.7
Duke Deen,Bradley,G,5'8,Senior,32,14.1,3.1,3.9,178,44.5,39.6,78.6
Gage Bobe,Evansville,G,6',Senior,17,3.9,1.2,0.8,-67,36.4,34.8,92.3
Kyle Pock,UNI,F,6'6,Freshman,0,3.4,0.8,0.2,-26,33,28.4,79.4
Malik Dia,Belmont,F,6'9,Sophomore,23,17,5.8,1.2,40,48.7,34.4,64.3
RJ Taylor,UNI,G,5'11,Freshman,0,1.9,1.3,1.1,19,34.3,15.6,12.5
Rob Perry,Murray St.,G,6'4,Senior,30,11.9,5.1,2.1,-33,40.1,28.8,75
Tyler Bey,Missouri St.,F,6'8,Freshman,0,2.5,2,0.2,-22,32.8,14.3,50
Aaron Gray,Indiana St.,G,6'7,Junior,0,1.3,1.3,0.1,-9,26.3,22.2,77.8
Bowen Born,UNI,G,5'11,Junior,31,13.3,2.5,1.8,19,37.6,32,88.3
Cade Tyson,Belmont,F,6'7,Sophomore,31,16.2,5.9,1.6,73,49.3,46.5,85.5
Cole Henry,UNI,F,6'9,Junior,0,3.1,1.7,1.4,-21,62.1,NA,56.5
Jake Wolfe,Indiana St.,G,6'5,Senior,1,2.2,1.8,1,38,60.5,36.4,68.2
Nate Heise,UNI,G,6'5,Junior,31,13.5,6.2,2.4,38,45.9,34.9,73.5
Toby Okani,UIC,G,6'8,Senior,30,11.2,6.8,1.8,-83,39.1,31.7,58.3
Win Miller,Belmont,G,6'3,Freshman,0,1.6,0.6,0.6,-35,34.8,20,54.5
Andrew Alia,Drake,G,6'2,Sophomore,0,0.9,0.3,0,-1,62.5,0,57.1
AJ Ferguson,Southern Ill.,G,6'6,Junior,21,8.9,5.2,0.9,21,48,30.4,72.9
Atin Wright,Drake,G,6'1,Junior,33,13.6,2.3,1.9,268,45,40.5,82.5
Derek Vorst,Indiana St.,F,6'10,Freshman,0,1.9,1.6,0.4,-21,45.5,22.2,60
Drew Daniel,UNI,F,6'7,Junior,0,1.1,0.5,0.2,19,27.3,18.2,66.7
Eli Shetlar,Indiana St.,G,6'6,Freshman,0,2.7,1.2,0,-6,45.5,33.3,50
JaCobi Wood,Murray St.,G,6'2,Junior,31,12.5,4,4.1,4,44.7,37,81.7
