Player Name,School Name,Position,Height,Year,Games Started,PPG,RebPG,AstPG,+/-,FG%,3FG%,FT%
Isaiah Hawthorne,San Francisco,F,6'8,Senior,7,3.9,1.5,0.4,67,43.8,31,40
Mason Forbes,Saint Mary's (CA),F,6'9,Senior,6,4.6,2.4,0.4,151,69.6,33.3,31.2
Wayne McKinney III,San Diego,G,6',Junior,30,13.5,3.6,2.8,-105,42.8,34.7,72.7
Dominic Muncey,San Diego,G,6',Junior,13,0.7,0.9,0.2,-109,26.9,26.7,100
Judson Martindale,Pacific,F,6'7,Junior,22,9,1.9,0.8,-341,41.9,36.4,75.9
Alimamy Koroma,Portland,F,6'8,Senior,5,8.7,4.4,0.6,-58,52.3,20,73.9
Justin Wright,LMU (CA),G,6'2,Senior,11,11,3.4,1.9,-76,48.8,31.4,81.2
Nolan Hickman,Gonzaga,G,6'2,Junior,31,14,2.2,2.7,430,46,40.8,87.7
Chris Austin,Portland,G,6'4,Senior,20,6.3,2.2,1.1,-197,39.3,35.4,72.7
Justice Hill,LMU (CA),G,6',Senior,19,11.2,2,4.2,6,40.4,36.4,78.4
Josh Kunen,San Francisco,F,6'8,Senior,1,2,1.9,0.6,33,45.6,37,50
Alex Merkviladze,LMU (CA),F,6'8,Senior,29,11.9,7.3,1.5,-25,39.9,35,74.4
Colby Brooks,Gonzaga,F,6'7,Junior,0,0.9,0.8,0.1,-26,33.3,0,57.1
Tyler Robertson,Portland,G,6'6,Senior,31,17,4.5,3.5,-240,44.8,37.3,81.3
Dominick Harris,LMU (CA),G,6'3,Junior,13,14.4,3.3,1.1,11,42.7,44.7,79.4
Thomas Oosterbroek,Portland,F,6'8,Junior,0,2,1.9,1,-21,31.2,0,80
Jonathan Mogbo,San Francisco,F,6'8,Junior,32,14.3,10.3,3.5,294,63.7,0,69.6
Volodymyr Markovetskyy,San Francisco,F,7'2,Senior,2,1.4,1.5,0.3,-28,73.9,NA,22.2
Johnny O'Neil,Santa Clara,F,6'10,Junior,32,11.1,5.5,1.6,40,43.6,32.7,66
Ben Gregg,Gonzaga,F,6'10,Junior,16,8.9,5.6,1.2,263,52.9,36.8,75.3
Mike Sharavjamts,San Francisco,G,6'8,Sophomore,32,7.8,2.9,2.6,208,41.3,35.4,83.3
Noah Jordan,Portland,F,6'8,Senior,0,2.4,2.8,0.5,-12,23.3,15.8,53.8
Brenton Knapper,Santa Clara,G,6',Sophomore,16,6.1,2.3,1.4,8,40.3,38.5,66.7
Ryan Beasley,San Francisco,G,5'10,Freshman,0,7.6,2.4,1.6,163,38.6,34.1,86.6
